"total_payment","customer_name","email","phone","address","postal_code","city","country"
"211.55","Eleanor Hunt","eleanor.hunt@sakilacustomer.org","354615066969","1952 Pune Lane","92150","Saint-Denis","Runion"
"208.58","Karl Seal","karl.seal@sakilacustomer.org","214756839122","1427 Tabuk Place","31342","Cape Coral","United States"
"194.61","Marion Snyder","marion.snyder@sakilacustomer.org","391065549876","1891 Rizhao Boulevard","47288","Santa Brbara dOeste","Brazil"
"191.62","Rhonda Kennedy","rhonda.kennedy@sakilacustomer.org","963369996279","1749 Daxian Place","11044","Apeldoorn","Netherlands"
"189.60","Clara Shaw","clara.shaw@sakilacustomer.org","563660187896","1027 Songkhla Manor","30861","Molodetno","Belarus"
"183.63","Tommy Collazo","tommy.collazo@sakilacustomer.org","762361821578","76 Kermanshah Manor","23343","Qomsheh","Iran"
"167.67","Ana Bradley","ana.bradley@sakilacustomer.org","72136330362","682 Garden Grove Place","67497","Memphis","United States"
"167.62","Curtis Irby","curtis.irby@sakilacustomer.org","615964523510","432 Garden Grove Street","65630","Richmond Hill","Canada"
"166.61","Marcia Dean","marcia.dean@sakilacustomer.org","727785483194","1479 Rustenburg Boulevard","18727","Tanza","Philippines"
"162.67","Mike Way","mike.way@sakilacustomer.org","206169448769","990 Etawah Loop","79940","Valparai","India"
